"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt5","gpt-5.5",3,"loop",15,136.889000000003,0.00304637138698274,0.00913911416094822,0,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",15,87.9649999999965,0.0153410272405906,0.0281659388646288,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",16,60.4250000000029,0.0463604121901065,0.0061447286338116,0.132936507936508,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",16,57.9290000000037,0.0284917169196645,0.025951341235184,0.0595238095238095,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",16,78.4020000000019,0.0148991474318985,0.00898315658140986,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",16,86.0809999999983,0.0397595282654546,0.0248908296943231,0.0943877551020408,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",16,113.878999999994,0.0184289873154502,0.00885839051777916,0.0464285714285714,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",16,79.6970000000001,0.0094718236639634,0.0284154709918902,0,0,0,2,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch3",17,42.0819999999949,0.0148991474318985,0.00898315658140986,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",17,69.6929999999993,0.0465911782367327,0.0245477230193387,0.114795918367347,0.000429893323512503,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",17,44.5829999999987,0.0148991474318985,0.00898315658140986,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",17,52.5339999999997,0.0154242046163444,0.0284154709918902,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",17,187.177000000003,0.00304637138698274,0.00913911416094822,0,0,0,2,FALSE,FALSE
"gpt5","gpt-5.5",10,"loop",17,144.834000000003,0.020991890205864,0.0272613849033063,0.0357142857142857,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",18,48.9440000000031,0.0148868893581951,0.00888958203368684,0.0357142857142857,5.68003266126345e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",18,39.5579999999973,0.0282799733109506,0.0281659388646288,0.0178571428571429,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",18,43.9820000000036,0.0323904051406916,0.00782907049282595,0.0892857142857143,5.64306435345229e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",18,86.9360000000015,0.0151600932760365,0.0275109170305677,0.0178571428571429,0.000112219940398833,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",18,55.4530000000013,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,1,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",18,110.546999999999,0.0206777956210175,0.0262632563942608,0.0357142857142857,5.58447545059406e-05,0,1,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",19,34.1330000000016,0.0379600748596382,0.00673736743605739,0.107142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",19,51.7769999999946,0.020991890205864,0.0272613849033063,0.0357142857142857,0,0,0,FALSE,FALSE
